iter	Passed	Remaining
0	1	418
1	3	448
2	4	453
3	6	454
4	7	433
5	8	431
6	10	428
7	11	421
8	13	422
9	14	423
10	16	423
11	17	428
12	19	423
13	20	422
14	22	421
15	23	421
16	25	416
17	30	474
18	31	469
19	33	465
20	34	462
21	36	458
22	37	454
23	39	453
24	40	449
25	42	446
26	44	447
27	47	460
28	48	457
29	50	455
30	60	523
31	61	517
32	63	514
33	65	509
34	66	505
35	68	500
36	69	496
37	71	491
38	72	486
39	78	508
40	79	504
41	81	499
42	82	495
43	84	492
44	86	489
45	87	485
46	94	509
47	96	505
48	97	500
49	99	496
50	106	518
51	107	513
52	109	509
53	110	504
54	112	501
55	118	514
56	119	510
57	121	508
58	123	503
59	124	499
60	126	496
61	128	492
62	134	504
63	135	500
64	137	496
65	139	493
66	143	499
67	145	495
68	146	491
69	147	486
70	149	482
71	154	490
72	156	486
73	159	486
74	161	483
75	162	479
76	166	480
77	167	477
78	169	473
79	171	470
80	173	467
81	178	474
82	180	471
83	185	476
84	187	473
85	188	469
86	190	466
87	191	462
88	193	458
89	195	455
90	196	451
91	198	448
92	199	445
93	205	450
94	207	447
95	208	443
96	210	440
97	211	436
98	213	433
99	215	430
100	216	427
101	218	423
102	220	420
103	221	417
104	223	414
105	224	411
106	226	408
107	228	405
108	230	403
109	231	400
110	237	404
111	239	401
112	240	398
113	242	396
114	244	392
115	245	389
116	247	386
117	248	383
118	255	388
119	257	386
120	259	383
121	260	380
122	262	377
123	263	374
124	265	371
125	267	369
126	269	367
127	271	364
128	273	362
129	274	358
130	276	356
131	284	362
132	285	359
133	287	355
134	288	352
135	290	350
136	292	347
137	293	344
138	295	342
139	296	339
140	298	336
141	300	333
142	301	330
143	303	328
144	304	325
145	306	323
146	307	320
147	309	317
148	310	314
149	312	312
150	313	309
151	315	307
152	316	304
153	318	301
154	319	299
155	321	296
156	323	294
157	324	291
158	326	289
159	328	287
160	329	284
161	331	282
162	332	279
163	334	277
164	335	274
165	337	272
166	338	269
167	340	267
168	341	264
169	343	262
170	344	260
171	346	257
172	348	255
173	349	253
174	353	252
175	355	250
176	357	248
177	362	248
178	364	246
179	366	244
180	368	242
181	369	239
182	371	237
183	372	234
184	374	232
185	375	230
186	377	228
187	383	228
188	384	226
189	386	223
190	388	221
191	389	219
192	391	217
193	393	214
194	397	214
195	400	212
196	402	210
197	403	208
198	405	205
199	407	203
200	408	201
201	410	199
202	414	197
203	416	195
204	417	193
205	419	191
206	420	189
207	426	188
208	428	186
209	429	184
210	431	181
211	432	179
212	434	177
213	436	175
214	437	173
215	439	170
216	440	168
217	446	167
218	447	165
219	449	163
220	450	161
221	455	160
222	457	158
223	459	155
224	461	153
225	462	151
226	464	149
227	466	147
228	467	145
229	469	142
230	475	141
231	476	139
232	478	137
233	479	135
234	481	133
235	483	131
236	489	130
237	490	127
238	492	125
239	496	124
240	498	121
241	499	119
242	501	117
243	502	115
244	504	113
245	505	110
246	507	108
247	508	106
248	510	104
249	512	102
250	513	100
251	515	98
252	516	96
253	518	93
254	520	91
255	521	89
256	523	87
257	524	85
258	526	83
259	527	81
260	529	79
261	530	77
262	532	74
263	534	72
264	539	71
265	541	69
266	542	67
267	544	65
268	545	62
269	547	60
270	552	59
271	554	57
272	557	55
273	558	53
274	560	50
275	566	49
276	568	47
277	569	45
278	571	43
279	577	41
280	578	39
281	579	37
282	581	34
283	586	33
284	588	30
285	590	28
286	591	26
287	593	24
288	594	22
289	596	20
290	597	18
291	601	16
292	603	14
293	604	12
294	609	10
295	611	8
296	613	6
297	619	4
298	620	2
299	626	0
