,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(0,)",[0.59084274 0.62917945 0.61456175 0.62275457],0.6143346296668979,"('monthly_charges',)",0.023273399195183325,0.01451882113405528,0.008382445290062844
2,"(0, 2)",[0.60298103 0.6179116  0.62358239 0.6295208 ],0.6184989539481898,"('monthly_charges', 'paperless_billing')",0.015797159949121172,0.00985486210260252,0.005689707287764206
3,"(0, 2, 11)",[0.62088934 0.61575495 0.62986809 0.62539819],0.6229776425874427,"('monthly_charges', 'paperless_billing', 'gender')",0.00840096763335479,0.0052408393547818885,0.0030258000122629076
4,"(0, 2, 5, 11)",[0.63439162 0.62669377 0.63966564 0.61300343],0.6284386131435314,"('monthly_charges', 'paperless_billing', 'online_security', 'gender')",0.016085299800367193,0.01003461457136523,0.005793487423991856
5,"(0, 2, 5, 7, 11)",[0.61862501 0.62533427 0.64330773 0.64434661],0.6329034018986667,"('monthly_charges', 'paperless_billing', 'online_security', 'device_protection', 'gender')",0.017928351674762196,0.011184379600560639,0.006457304573102644
6,"(0, 2, 5, 7, 11, 12)",[0.60512422 0.63955742 0.64691239 0.64383914],0.6338582941202173,"('monthly_charges', 'paperless_billing', 'online_security', 'device_protection', 'gender', 'senior_citizen')",0.026920465450002973,0.01679399813650768,0.009696019344882784
7,"(0, 2, 5, 6, 7, 11, 12)",[0.6093807  0.64868507 0.63961325 0.65023263],0.6369779110760303,"('monthly_charges', 'paperless_billing', 'online_security', 'online_backup', 'device_protection', 'gender', 'senior_citizen')",0.026355469582496575,0.016441532479342165,0.009492523202838173
8,"(0, 2, 5, 6, 7, 8, 11, 12)",[0.62045562 0.64210144 0.63818516 0.63738129],0.6345308759630973,"('monthly_charges', 'paperless_billing', 'online_security', 'online_backup', 'device_protection', 'tech_support', 'gender', 'senior_citizen')",0.013337172425040523,0.008320229427994064,0.004803686699971819
9,"(0, 2, 5, 6, 7, 8, 11, 12, 14)",[0.60067332 0.63281077 0.63923901 0.64884345],0.6303916384777178,"('monthly_charges', 'paperless_billing', 'online_security', 'online_backup', 'device_protection', 'tech_support', 'gender', 'senior_citizen', 'dependents')",0.028984457977933756,0.01808159424929449,0.010439413307207763
10,"(0, 2, 5, 6, 7, 8, 11, 12, 14, 15)",[0.60581669 0.64388868 0.64894525 0.63705047],0.6339252698849316,"('monthly_charges', 'paperless_billing', 'online_security', 'online_backup', 'device_protection', 'tech_support', 'gender', 'senior_citizen', 'dependents', 'multiple_lines')",0.02687957030435233,0.016768486207632435,0.009681290025879112
